ID de Transmisión,Entidad,Nombre Transmisión,Propósito Transmisión,Tipo de Transmisión,Clasificación de Datos,Sistema de origen,Propietario Datos de Origen,Sistema de Destino,Propietario Datos de Destino,Formato de Datos,Protocolo de comunicaciòn,Frecuencia,Ventana de ejecuciòn,Volumen estimado,Dependencias,Riesgo de falla,Mecanismo de seguridad,Cifrado en trànsito,Cumplimiento Regulatorio,Aprobaciòn de Arquitectura,Propietario Tècnico,SLA,KPI de Calidad de Datos,Umbral de alerta,Documentaciòn,id
Identificador único de la transmisión o flujo de datos.,No especificado,Nombre descriptivo y claro de la transmisiòn,Breve descripción del objetivo de negocio que cumple la transmisión.,Clasificación del tipo de flujo.,Nivel de sensibilidad o criticidad de los datos transmitidos.,El sistema o aplicación que inicia o genera los datos.,Área de negocio responsable de la calidad y veracidad de los datos en origen.,El sistema o aplicación que consume/recibe los datos.,Área de negocio que utiliza los datos recibidos.,Estructura o protocolo de los datos en tránsito.,El método técnico usado para la transferencia.,Periodicidad con la que se ejecuta la transmisión.,Horario en el que la transmisión debe completarse.,Cantidad de datos (registros o tamaño) transmitidos por ciclo.,Otras transmisiones o procesos que deben completarse primero.,Evaluación del impacto de una interrupción en la transmisión.,Método de autenticación y autorización utilizado.,Indica si la transmisión está cifrada.,Leyes o normativas aplicables a los datos transmitidos.,Fecha y persona/área que aprobó el diseño técnico/seguridad.,Equipo o persona responsable del soporte operativo de primer nivel.,Porcentaje de tiempo que la transmisión debe estar operativa.,Métricas clave para medir la calidad de los datos al ser transmitidos/recibidos.,Límites para métricas que disparan una notificación.,Enlace al documento técnico/diagrama de flujo de la transmisión.,1
TRX-xxx-01,No especificado,Sincronización de Empleados de SAP a Salesforce,Mantener actualizados los datos de personal en el CRM para ventas.,"API/Servicio Web, Transferencia de Archivos (SFTP), Mensajería (Kafka), Base de Datos","Público, Confidencial, Sensible (PII/GDPR)",ERP (SAP ECC),Recursos Humanos,CRM (Salesforce),Ventas,"JSON, XML, CSV, Parquet","HTTPS/REST, SFTP, SOAP, JMS","Tiempo Real, Diaria, Cada 15 minutos, A Demanda",Diario a las 02:00h UTC-3,5.000 registros/día o 1 GB/semana,"Requiere la finalización de 'TRX_RRHH_DEP_002'
","Alto, Medio, Bajo","OAuth 2.0, API Key, Certificado SSL/TLS","Sí (TLS 1.2), No","GDPR, HIPAA, PCI-DSS, ISO 27001",2025-09-15 / Comité de Arquitectura,Equipo de Operaciones IT,99.9%,"Tasa de Éxito de Registros (%), Registros con Errores de Formato","Falla en más del 5% de los registros, Latencia > 5 segundos",http://wiki.corp/trx/001,2
XCOELSA0,COELSA,Recepciòn de cheques presentado por otros Bancos,Procesar los pagos de cheques presentados en otras entidades,XCOM,Confidencial,BBVAS03,Explotaciòn de Datos,Mainframe,Altamira,Secuencial,FTP,Diaria,Diario a partir de las 00:10 hrs.,"20,000 registros/día",Requiere la marca de BBVAS03 PRHP-OK-XCOELSA0,Bajo,No especificado,No especificado,No especificado,No especificado,Matías Miranda - Ariel Alice,No especificado,No especificado,No especificado,Ver de adjuntar job,3
ATMARCBU,BANELCO,TRANSFERENCIA A BANELCO,TRANSFERENCIAS INMEDIATAS,Connect Direct ,Confidencial,BBVAS03,Explotaciòn de Datos,Mainframe ,Banelco,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,4
ATMAUH01,BANELCO,No especificado,No especificado,Connect Direct ,Confidencial,BBVAS03,Explotaciòn de Datos,M,Banelco,EVENTUAL,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,5
ATMAUH02,BANELCO,No especificado,No especificado,Connect Direct ,Confidencial,BBVAS03,Explotaciòn de Datos,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,6
ATMAUH03,BANELCO,No especificado,No especificado,Connect Direct ,Confidencial,BBVAS03,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,7
ATMCER00,BANELCO,No especificado,No especificado,No especificado,No especificado,BBVAS03,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,8
ATMCPP00,BANELCO,No especificado,No especificado,No especificado,No especificado,BBVAS03,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,9
ATMFTP05,BANELCO,No especificado,No especificado,No especificado,No especificado,BBVAS03,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,10
